Function,Algorithm,Iteration,MeanBest
CEC2017-F1,ARPSO-EIS,1,82952624979.94313
CEC2017-F1,ARPSO-EIS,2,59543420975.72594
CEC2017-F1,ARPSO-EIS,3,52958702723.55742
CEC2017-F1,ARPSO-EIS,4,47711683112.85949
CEC2017-F1,ARPSO-EIS,5,42278834977.96472
CEC2017-F1,ARPSO-EIS,6,37958776794.14352
CEC2017-F1,ARPSO-EIS,7,34116437191.77679
CEC2017-F1,ARPSO-EIS,8,31164555288.20862
CEC2017-F1,ARPSO-EIS,9,28404339294.69937
CEC2017-F1,ARPSO-EIS,10,25496275907.353355
CEC2017-F1,ARPSO-EIS,11,23751187690.7556
CEC2017-F1,ARPSO-EIS,12,22441873448.48549
CEC2017-F1,ARPSO-EIS,13,21369918304.66828
CEC2017-F1,ARPSO-EIS,14,19727614890.850517
CEC2017-F1,ARPSO-EIS,15,18771281449.927097
CEC2017-F1,ARPSO-EIS,16,17860774413.727608
CEC2017-F1,ARPSO-EIS,17,16861491560.653412
CEC2017-F1,ARPSO-EIS,18,15802103809.681978
CEC2017-F1,ARPSO-EIS,19,15169231853.621635
CEC2017-F1,ARPSO-EIS,20,14843677962.348412
CEC2017-F1,ARPSO-EIS,21,14673932512.50268
CEC2017-F1,ARPSO-EIS,22,14419586899.579044
CEC2017-F1,ARPSO-EIS,23,14102389474.530945
CEC2017-F1,ARPSO-EIS,24,13827205418.940718
CEC2017-F1,ARPSO-EIS,25,13671595863.77516
CEC2017-F1,ARPSO-EIS,26,13333174072.015646
CEC2017-F1,ARPSO-EIS,27,13094917512.555729
CEC2017-F1,ARPSO-EIS,28,12966058681.653273
CEC2017-F1,ARPSO-EIS,29,12851726641.41406
CEC2017-F1,ARPSO-EIS,30,12660913347.966732
CEC2017-F1,ARPSO-EIS,31,12595538308.972218
CEC2017-F1,ARPSO-EIS,32,12297145711.422243
CEC2017-F1,ARPSO-EIS,33,12121714098.131071
CEC2017-F1,ARPSO-EIS,34,11808834868.185324
CEC2017-F1,ARPSO-EIS,35,11739075841.888302
CEC2017-F1,ARPSO-EIS,36,11570990848.336788
CEC2017-F1,ARPSO-EIS,37,11436813347.791204
CEC2017-F1,ARPSO-EIS,38,11253187755.779491
CEC2017-F1,ARPSO-EIS,39,11014207619.407955
CEC2017-F1,ARPSO-EIS,40,10815808446.25529
CEC2017-F1,ARPSO-EIS,41,10647060421.957798
CEC2017-F1,ARPSO-EIS,42,10506746246.762491
CEC2017-F1,ARPSO-EIS,43,10450133906.280222
CEC2017-F1,ARPSO-EIS,44,10350308733.348114
CEC2017-F1,ARPSO-EIS,45,10234186361.91724
CEC2017-F1,ARPSO-EIS,46,10200787441.691706
CEC2017-F1,ARPSO-EIS,47,10159021603.580189
CEC2017-F1,ARPSO-EIS,48,10075593694.93438
CEC2017-F1,ARPSO-EIS,49,10010959071.571846
