Function,BaseAlgorithm,ComparedAlgorithm,BaseMean,ComparedMean,Statistic,PValue,Result
CEC2017-F1,ARPSO-EIS,PSO,11291.30470381012,1248012545.1937678,89.0,0.0023674946278333664,Win
CEC2017-F1,ARPSO-EIS,PSO-AW,11291.30470381012,1488073181.4483597,23.0,2.6026076788230615e-05,Win
CEC2017-F1,ARPSO-EIS,PSO-RS,11291.30470381012,5655647.124171671,155.0,0.11417667381465435,NSD
CEC2017-F1,ARPSO-EIS,CLPSO,11291.30470381012,890.477424730899,8.0,4.6566128730773926e-08,Loss
CEC2017-F1,ARPSO-EIS,HPSO-TVAC,11291.30470381012,460876120.98737496,149.0,0.21882562656238658,NSD
CEC2017-F1,ARPSO-EIS,ARPSO-v4,11291.30470381012,6442.745219488778,52.5,0.0030774468019151447,Loss
CEC2017-F1,ARPSO-EIS,GA,11291.30470381012,27324458.410566635,0.0,1.862645149230957e-09,Win
CEC2017-F1,ARPSO-EIS,DE,11291.30470381012,3210.1858963481336,68.0,0.0003800932317972183,Loss
CEC2017-F10,ARPSO-EIS,PSO,-3538.994081325772,-3078.935682019069,158.0,0.12935307621955872,NSD
CEC2017-F10,ARPSO-EIS,PSO-AW,-3538.994081325772,-3706.824318977027,214.0,0.7151329666376114,NSD
CEC2017-F10,ARPSO-EIS,PSO-RS,-3538.994081325772,-3350.915613717942,213.0,0.7000329215079546,NSD
CEC2017-F10,ARPSO-EIS,CLPSO,-3538.994081325772,-5005.480765616082,46.0,3.453157842159271e-05,Loss
CEC2017-F10,ARPSO-EIS,HPSO-TVAC,-3538.994081325772,-3760.4775124207213,188.0,0.370740607380867,NSD
CEC2017-F10,ARPSO-EIS,ARPSO-v4,-3538.994081325772,-3458.708716589604,225.0,0.8871948085725307,NSD
CEC2017-F10,ARPSO-EIS,GA,-3538.994081325772,-2663.908227219494,88.0,0.0021877754479646683,Win
CEC2017-F10,ARPSO-EIS,DE,-3538.994081325772,-1627.0802978117424,92.0,0.0029870010912418365,Win
CEC2017-F11,ARPSO-EIS,PSO,21342.588624612268,45659.512707072085,68.0,0.0003800932317972183,Win
CEC2017-F11,ARPSO-EIS,PSO-AW,21342.588624612268,102253.45510301743,12.0,1.30385160446167e-07,Win
CEC2017-F11,ARPSO-EIS,PSO-RS,21342.588624612268,52445.35053572218,65.0,0.000283263623714447,Win
CEC2017-F11,ARPSO-EIS,CLPSO,21342.588624612268,12708.093904897685,193.0,0.42795460671186447,NSD
CEC2017-F11,ARPSO-EIS,HPSO-TVAC,21342.588624612268,32878.604801642985,142.0,0.0635564886033535,NSD
CEC2017-F11,ARPSO-EIS,ARPSO-v4,21342.588624612268,16774.182914801,195.0,0.4521643426269293,NSD
CEC2017-F11,ARPSO-EIS,GA,21342.588624612268,11255.1995620689,168.0,0.19092952087521553,NSD
CEC2017-F11,ARPSO-EIS,DE,21342.588624612268,331.1701120354329,1.0,3.725290298461914e-09,Loss
CEC2017-F12,ARPSO-EIS,PSO,1565669.2893103485,66535581.42567864,218.0,0.7765688337385654,NSD
CEC2017-F12,ARPSO-EIS,PSO-AW,1565669.2893103485,116642009.09827593,146.0,0.07672121562063694,NSD
CEC2017-F12,ARPSO-EIS,PSO-RS,1565669.2893103485,2518750.71993483,217.0,0.761065473780036,NSD
CEC2017-F12,ARPSO-EIS,CLPSO,1565669.2893103485,258792.8773923073,52.0,7.056817412376404e-05,Loss
CEC2017-F12,ARPSO-EIS,HPSO-TVAC,1565669.2893103485,43922522.94479558,144.0,0.06989291124045849,NSD
CEC2017-F12,ARPSO-EIS,ARPSO-v4,1565669.2893103485,2031449.537409137,222.0,0.8393927440047264,NSD
CEC2017-F12,ARPSO-EIS,GA,1565669.2893103485,1082651.0463464588,217.0,0.761065473780036,NSD
CEC2017-F12,ARPSO-EIS,DE,1565669.2893103485,3888.896838719233,0.0,1.862645149230957e-09,Loss
CEC2017-F13,ARPSO-EIS,PSO,181140.34723472406,28941828.325710468,115.0,0.01453801617026329,Win
CEC2017-F13,ARPSO-EIS,PSO-AW,181140.34723472406,60186345.41706726,79.0,0.001038169488310814,Win
CEC2017-F13,ARPSO-EIS,PSO-RS,181140.34723472406,420442.72655813646,186.0,0.3492113798856735,NSD
CEC2017-F13,ARPSO-EIS,CLPSO,181140.34723472406,11076.237996700887,0.0,1.862645149230957e-09,Loss
CEC2017-F13,ARPSO-EIS,HPSO-TVAC,181140.34723472406,2119269.5500959265,158.0,0.12935307621955872,NSD
CEC2017-F13,ARPSO-EIS,ARPSO-v4,181140.34723472406,220319.92803294127,172.0,0.22064675763249397,NSD
